Type,Type_Rowe,Reference,Authors,Year,Title,Journal,Issue,Number,Start,End,Extra,Link_Abstract,Link_PDF,Citations on G Scholar,Abstract_text,Keywords
Meta-analysis,Theory testing,"Gerow, J. E., Grover, V., Thatcher, J. B., & Roth, P. L. (2014). Looking toward the future of IT-business strategic alignment through the past: A meta-analysis. MIS Quarterly, 38(4), 1059–1085. ","Gerow, J. E., Grover, V., Thatcher, J. B., & Roth, P. L. ",2014, Looking toward the future of IT-business strategic alignment through the past: A meta-analysis,MIS Quarterly,38,4,1059,1085,,,https://cpb-us-e1.wpmucdn.com/sites.uark.edu/dist/c/1/files/2017/06/2014-MISQ.pdf,,"Research examining the relationship between IT–business strategic alignment (hereafter referred to as alignment)  and  firm  performance  (hereafter  referred  to  as  performance)  has  produced  apparently  conflicting findings (i.e., an alignment paradox).  To examine the alignment paradox, we conducted a meta-analysis that probed the interrelationships between alignment, performance, and context constructs.  We found the alignmentdimensions (intellectual, operational, and cross-domain) demonstrate unique relationships with the different performance types (financial performance, productivity, and customer benefit) and with many of the other constructs  in  alignment’s  nomological  network.    All  mean  corrected  correlations  between  dimensions  of alignment and dependent variables were positive and most of the credibility interval values in these analyses were also positive.  Overall, the evidence gathered from the extant literature suggests there is not much of an alignment paradox. This study contributes to the literature by clarifying the relationships between alignment and performance outcomes and offering insight into sources of inconsistencies in alignment research.  By doing so, this paper lays a foundation for more consistent treatment of alignment in future IT research.",
Meta-analysis,Theory testing,"He, J., & King, W. R. (2008). The role of user participation in information systems development: Implications from a meta-analysis. Journal of Management Information Systems, 25(1), 301-–31. ","He, J., & King, W. R. ",2008, The role of user participation in information systems development: Implications from a meta-analysis,Journal of Management Information Systems,25,1,-301,31,,,https://pdfs.semanticscholar.org/3479/e8a18317ea279ebd8765e9ea31c6247c9705.pdf,,"This study synthesizes the research findings of 82 empirical studies on user participation in information systems development (ISD). Various ISD outcomes are addressed using a classification scheme involving two broad categories—attitudinal/behavioral  outcomes  and  productivity  outcomes. The  results  demonstrate  that  user participation is minimally-to-moderately beneficial to ISD; its effects are compara-tively  stronger  on  attitudinal/behavioral  outcomes  than  on  productivity  outcomes. This attitudinal/behavioral impact may largely be the result of the emphasis that has been placed on user participation by academics and consultants. The results of this analysis are compared to those of a meta-analysis in the broader management context of participation. The results are similar in terms of attitudinal outcomes, but different, and lesser, in terms of productivity outcomes. Since the current status of research in the broad area of participation is that the effects of participation are considered to be problematic, that status and the results of this study suggest that user participation alone may not be sufficient to achieve significantly improved ISD outcomes, and that different strategies should be employed based on the specific goals of ISD projects. If  system  acceptance  is  the  ultimate  goal,  user  participation  should  be  designed  to induce more psychological involvement among potential users. If productivity benefits are the focus, user participation should be designed to provide developers the needed domain knowledge. In sum, user participation should be treated as one of a number of means for ISD projects to be more successful.",
Meta-analysis,Theory testing,"Hess, T. J., McNab, A. L., & Basoglu, K. A. (2014). Reliability generalization of perceived ease of use, perceived usefulness, and behavioral intentions. MIS Quarterly, 38(1), 1–28. ","Hess, T. J., McNab, A. L., & Basoglu, K. A. ",2014," Reliability generalization of perceived ease of use, perceived usefulness, and behavioral intentions",MIS Quarterly,38,1,1,28,,,https://pdfs.semanticscholar.org/4b02/65386883558f14e55b821728215355c6abe1.pdf,,"A reliability generalization study (a meta-analysis of reliability coefficients) was conducted on three widely studied information systems constructs from the technology acceptance model (TAM):  perceived ease of use, perceived usefulness, and behavioral intentions.  This form of meta-analysis summarizes the reliability coefficients of the scores on a specified scale across studies and identifies the study characteristics that influence the reliability of these scores.  Reliability is a critical issue in conducting empirical research as the reliabilityof the scores on well-established scales can vary with study characteristics, attenuating effect sizes.  In conducting  this  study,  an  extensive  literature  search  was  conducted,  with  380  articles  reviewed  and  coded  toperform  reliability  generalization.    Study  characteristics,  including  technology,  sample,  and  measurement characteristics, for these articles were recorded along with effect size data for the relationships among these variables.  After controlling for number of items, sample size, and sampling error, differences in reliability coefficients were found with several study characteristics for the three technology acceptance constructs.  The reliability coefficients of PEOU and PU were lower in hedonic contexts than in utilitarian contexts, and were higher when the originally validated scales were used as compared to when other items were substituted.  Only 27 percent of the studies that provided the measurement items used the original PEOU items, while 39 percentused the original PU items.  Scales that were administered in English had higher reliability coefficients for PU and  BI,  with  a  marginal  effect  for  PEOU.    Reliability differences were also found for other study charac-teristics, including reliability type, subject experience, and gender composition.  While average reliability coefficients were high, the results show that, on average, relationships among these constructs are attenuatedby 12 percent with maximum attenuation in the range of 35 to 43 percent.  Implications for technology acceptance research are discussed and suggestions for addressing variation in reliability coefficients across studiesare provided. ",
Meta-analysis,Theory testing,"Joseph, D., Ng, K. Y., Koh, C., & Ang, S. (2007). Turnover of information technology professionals: A narrative review, meta-analytic structural equation modeling, and model development. MIS Quarterly, 31(3), 547–577. (Hybrid review: meta-analysis/theory development) ","Joseph, D., Ng, K. Y., Koh, C., & Ang, S. ",2007," Turnover of information technology professionals: A narrative review, meta-analytic structural equation modeling, and model development",MIS Quarterly,31,3,547,577,(Hybrid review: meta-analysis/theory development,,https://www.researchgate.net/profile/Damien_Joseph/publication/211388636_Turnover_of_information_technology_professionals_A_narrative_review_meta-analytic_structural_equation_modeling_and_model_development/links/5d11aa88a6fdcc2462a353fd/Turnover-of-information-technology-professionals-A-narrative-review-meta-analytic-structural-equation-modeling-and-model-development.pdf,,"This study combines a narrative review with meta-analytic techniques to yield important insights about the existing research on turnover of IT professionals. First, our narrative review of thirty-three studies shows that the forty-three antecedents to turnover intentions of IT professionals could be mapped onto March and Simon’s (1958) distal-proximate turnover framework. Specifically, antecedents of IT turnover intentions can be classified into either proximal (desire to move and ease of movement) or distal constructs (e.g. individual attributes, job-related and perceived organizational factors). Second, our meta-analytic structural equation modeling shows that proximate constructs of job satisfaction (reflecting the lack of desire to move) and perceived job alternatives (reflecting ease of movement) partially mediate the relationship between the more distal individual attributes, job-related and perceived organizational factors and IT turnover intentions. Third, building on the findings from our review, we propose a new theoretical model of IT turnover that presents propositions for future research to address existing gaps in the IT literature.",
Meta-analysis,Theory testing,"Kohli, R., & Devaraj, S. (2003). Measuring information technology payoff: A meta-analysis of structural variables in firm-level empirical research. Information Systems Research, 14(2), 127–145. ","Kohli, R., & Devaraj, S. ",2003, Measuring information technology payoff: A meta-analysis of structural variables in firm-level empirical research,Information Systems Research,14,2,127,145,,,https://pdfs.semanticscholar.org/5c9d/c3ebaa6bf9777227d2a2a96128170fe8a971.pdf,,"Payoffs  from  information  technology  (IT)  continue  to  generate  interest  and  debate  both among academicians and practitioners. The extant literature cites inadequate sample size, lack  of process orientation, and analysis methods among the reasons some studies have shown mixed  results in  establishing  a relationship between  IT investment  and  firm  performance.In  this  paper  we  examine  the  structural  variables  that  affect  IT  payoff  through  a  meta-analysis  of  66 firm-level empirical  studies between  1990 and  2000. Employing  logistic regression  and  discriminant  analyses, we present  statistical  evidence  of  the characteristics  that dicriminate between  IT payoff  studies that  observed  a positive  effect  and  those that  did  not. In addition,  we conduct  ordinary  least  squares  (OLS) regression  on a continuous  measure  of  IT payoff  to examine  the influence  of structural  variables  on  the result  of  IT payoff  studies. The results indicate that the sample size, data source (firm-level  or secondary), and industryin which the study  is conducted  influence  the likelihood  of the study  finding  greater improvements  on firm performance.  The choice  of the dependent  variable(s)  also appears to  influence the outcome  (although  we did  not  find support  for  process-oriented  measurement),  the  type of  statistical  analysis conducted,  and  whether  the study  adopted  a cross-sectional  or  longitudinal design. Finally, we present  implications  of the findings and  recommendations  for  future research. ",
Meta-analysis,Theory testing,"Sharma, R., & Yetton, P. (2003). The contingent effects of management support and task interdependence on successful information systems implementation. MIS Quarterly, (27)4, 533–555. ","Sharma, R., & Yetton, P. ",2003, The contingent effects of management support and task interdependence on successful information systems implementation,MIS Quarterly,27,4,533,555,,https://www.jstor.org/stable/30036548?seq=1,,,"Management support is considered to be a critical factor in the successful implementation of information systems innovations. The literature suggests a complex relationship between management support and implementation success. However, the empirical literature typically hypothesizes and tests a simple main-effects model. Drawing upon the role of the institutional context and metastructuration actions, we propose a contingent model in which task interdependence moderates the effect of management support on implementation success. A meta-analysis of the empirical literature provides strong support for the model and begins to explain the wide variance in empirical findings. Implications for theory and practice are discussed.",
Meta-analysis,Theory testing,"Sharma, R., & Yetton, P. (2007). The contingent effects of training, technical complexity, and task interdependence on successful information systems implementation. MIS Quarterly, 31(2), 219–238. ","Sharma, R., & Yetton, P. ",2007," The contingent effects of training, technical complexity, and task interdependence on successful information systems implementation",MIS Quarterly,31,2,219,238,,https://www.jstor.org/stable/25148789,,,"Research has investigated the main effect of training on IS implementation success. However, empirical support for this model is inconsistent. We propose a contingent model in which the effect of training on IS implementation success is a function of technical complexity and task interdependence. A meta-analysis of the literature finds strong support for the model, explaining the inconsistent findings reported in the literature. Implications for theory and practice are discussed. ",
Meta-analysis,Theory testing,"Wu, J., & Du, H. (2012). Toward a better understanding of behavioral intention and system usage constructs. European Journal of Information Systems, 21(6), 680–698. ","Wu, J., & Du, H. ",2012, Toward a better understanding of behavioral intention and system usage constructs,European Journal of Information Systems,21,6,680,698,,https://www.tandfonline.com/doi/abs/10.1057/ejis.2012.15,,,"To understand user behavior, researchers have examined intention to use, and system usage through some common conceptualizations such as actual usage, reported usage, and assessed usage. Although this entire body of research has produced important findings, it has yet to appreciably advance our theoretical understanding of behavioral intention (BI) and usage constructs. To fill this gap, this paper critically examines and compares these core variables as well as their relationships with key technology acceptance determinants. We find that (1) BI has a much higher correlation with the determinants than does usage, and thus more variance in BI than in usage can be explained; (2) BI is not a good surrogate for usage; (3) among the three usage constructs, assessed usage is the most and actual usage is the least highly correlated with BI; and (4) researchers should examine both actual usage and assessed usage in their every single study to bring to light the true relationships between system usage and its antecedents. This study thus helps IS scholars expand their baseline knowledge of these core variables, interpret the important messages conveyed by the extant literature, and conduct more fruitful and illuminating future research on user behavior. ",
Meta-analysis,Theory testing,"Wu, J., & Lederer, A. (2009). A meta-analysis of the role of environment-based voluntariness in information technology acceptance. MIS Quarterly, 33(2), 419–432. ","Wu, J., & Lederer, A. ",2009, A meta-analysis of the role of environment-based voluntariness in information technology acceptance,MIS Quarterly,33,2,419,432,,https://aisel.aisnet.org/misq/vol33/iss2/11/,,,"The technology acceptance model (TAM) asserts that ease of use and usefulness are two primary determinants of behavioral intention and usage. A parallel research stream emphasizes voluntariness, a key social influence and contextual variable, as a critical factor in information technology (IT) adoption, but pays little attention to its role in TAM. This paper addresses this particular absence by investigating the impact of environment-based voluntariness on the relationships among the four primary TAM constructs. A meta-analysis of 71 empirical studies provides strong support for the hypotheses that environment-based voluntariness moderates the effects of ease of use and usefulness on behavioral intention, but not the effect of ease of use on usefulness. Moreover, inconsistent with our expectations, environment-based voluntariness does not moderate the effects of ease of use and usefulness on usage. By further analyzing the data set, we suggest this may be because of the relatively small sample size, the presence of other factors, or the inappropriate measurement of usage in previous studies. The current study contributes not only to the distinction between user-based and environment-based voluntariness but also to a more complete understanding of user acceptance of IT across system-use environments.",
Meta-analysis,Theory testing,"Wu, J., & Lu, X. (2013). Effects of extrinsic and intrinsic motivators on using utilitarian, hedonic, and dual-purposed information systems: A meta-analysis. Journal of the Association for Information Systems, 14(3), 153–191. ","Wu, J., & Lu, X. ",2013," Effects of extrinsic and intrinsic motivators on using utilitarian, hedonic, and dual-purposed information systems: A meta-analysis",Journal of the Association for Information Systems,14,3,153,191,,,https://pdfs.semanticscholar.org/39c7/658efa83c1dd45083bf140ed09fb3fa70b4b.pdf,,"While many studies have found that perceived usefulness— an extrinsic motivator — is the strongest determinant of  using  utilitarian  systems,  others  have  found  that  it  is  less  important  than  perceived  enjoyment—an  intrinsic  motivator—in  predicting  hedonic  system  usage.  In  light  of  these  interesting  but  mixed  findings,  our  research applies  the  motivation  theory  to  investigate  the  effects  of  extrinsic  and  intrinsic  motivators  on  system-use behavior  in  utilitarian,  hedonic,  and  dual-purposed  contexts. We  then  construct  associated  hypotheses  and  empirically  test  them  by  analyzing  data  collected  from  the  literature.  The  results  generally  confirm  our  prediction  that, in  the  context  of  utilitarian  systems,  extrinsic  motivators  are  more  important  than  intrinsic  motivators,  whereas,  in  the  context  of  hedonic  systems,  intrinsic  motivators  play  a  more  critical  role  than  extrinsic  motivators.  The  results  thus  substantiate  our  contention  that,  when  information  systems  vary  from  utilitarian  to  hedonic,  the  most  important  determinants  shift  from  extrinsic  to  intrinsic  motivators.  This  paper  contributes not only to a new application of the motivation theory to IT adoption, but also to an integrated and in-depth  analysis  of  motivators,  which  may  reorient  IS  scholars  toward  potentially  more  fruitful  avenues  for  studying user behavior.",
Narrative,Describing,"Alavi, M., & Leidner, D. E. (2001). Review: Knowledge management and knowledge management systems: Conceptual foundations and research issues. MIS Quarterly, 25(1), 107–136.","Alavi, M., & Leidner, D. E. ",2001, Review: Knowledge management and knowledge management systems: Conceptual foundations and research issues,MIS Quarterly,25,1,107,136,,,https://flora.insead.edu/fichiersti_wp/inseadwp1999/99-34.pdf,,"Knowledge is a broad and abstract notion that has defined epistemological debate in western philosophy since the classical Greek era. In the past few years, however, therehas been a raging interest in treating knowledge as a significant organizational resource.The heightened interest in organizational knowledge and knowledge management stemsfrom the transition into the knowledge economy, where knowledge is viewed as the principle source of value creation and sustainable competitive advantage. Consistent withthe growing interest in organizational knowledge and knowledge management (KM),recently IS researchers have been promoting a class of information systems, referred to as knowledge management systems (KMS). The objective of KMS is to support construction, sharing and application of knowledge in organizations. Knowledge and knowledge management are complex and multi-faceted concepts. Thus, effective development and implementation of KMS requires a foundation in several richliteratures. We believe that to be credible, KMS research and development should preserve and built upon the significant literature that exists in different but related fields. We have promoted this view in this paper by providing a review and interpretation of knowledge management literatures in different fields with an eye towards identifying the important areas for future research. Next, we have presented a detailed process-view oforganizational knowledge management with a focus on the potential role of IT in this process. The paper concludes with a discussion of major research questions that emerge from the review of literature as well as the process-view of KM. It  is  our  contention  that  in  large  and  global  firms  information  technologies  (inform  of  KMS)  will  be  interlaced  with  organizational  knowledge  management  strategies and  processes.  We  therefore  believe  that  the  KMS  should  and  will  receive  considerable scholarly attention and will become a focal point of inquiry. It is our hope that the ideas,discussion, and the broad research issues set forth in this paper contributes to future workin the knowledge management area by IS researchers.",
Narrative,Describing,"Beard, J. W., & Sumner, M. (2004). Seeking strategic advantage in the post-net era: Viewing ERP systems from the resource-based perspective. The Journal of Strategic Information Systems, 13(2), 129–150.","Beard, J. W., & Sumner, M. ",2004, Seeking strategic advantage in the post-net era: Viewing ERP systems from the resource-based perspective,The Journal of Strategic Information Systems,13,2,129,150,,https://www.sciencedirect.com/science/article/abs/pii/S0963868704000058,,,"The purpose of this research is to explore whether enterprise resource planning (ERP) systems can provide an organization with a sustained competitive advantage. Using the VRIO framework of the resource-based model of competitive advantage, four questions are posed to consider this issue. Is the ERP system valuable? Is the ERP system a resource that is heterogeneously distributed across competing firms? Is the ERP system imperfectly mobile? And, is the firm organized to exploit the full potential of its ERP system? An examination of the existing research suggests that ERP systems may not provide a competitive advantage based upon the premises of system value, distribution, and imitability. This is largely due to the ‘common systems’ approach used for the implementation of most ERP systems. Instead, the source of competitive advantage may lie in the careful planning and successful management of ERP projects, refinement of the reengineering of the organization, and the post-implementation alignment of the ERP system with the organization's strategic direction. Suggestions for future research are offered. ",
Narrative,Describing,"Bélanger, F., & Carter, L. (2012). Digitizing government interactions with constituents: An historical review of e-government research in information systems. Journal of the Association for Information Systems, 13(5), 363–394.","Bélanger, F., & Carter, L. ",2012, Digitizing government interactions with constituents: An historical review of e-government research in information systems,Journal of the Association for Information Systems,13,5,363,394,,,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.359.4513&rep=rep1&type=pdf,,"As  information  and  communication  technologies  began  to  support  new  forms  of  interaction  between governments and their constituents, the concept of e-government emerged as a new domain for Information Systems  (IS)  researchers.  The  past  decade  has  seen  a  variety  of  e-government  themes  researched and presented by scholars in IS, public administration, and political science. In order to reflect on the history of the IS discipline,  this  article  provides  an  historical  assessment  of  electronic  government  research.  In  particular, we review highly  cited e-government  articles  and  e-government articles published in the AIS Senior Scholars’ basket  of  journals  to  assess  existing  publication  outlets,  theoretical  foundations,  methodological  approaches, sampling, and topic areas. The analysis of the literature reveals significant insights about the metamorphosis of e-government  research  over  time,  the  assessment  of  which  serves  as  a  basis  for  recommendations  for  future research on this global phenomenon ",
Narrative,Describing,"Chan, Y. E., & Reich, B. H. (2007). IT alignment: What have we learned? Journal of Information Technology, 22(4), 297–315.","Chan, Y. E., & Reich, B. H. ",2007, IT alignment: What have we learned? ,Journal of Information Technology,22,4,297,315,,https://link.springer.com/article/10.1057/palgrave.jit.2000109,,,"We provide a review of the alignment literature in IT, addressing questions such as: What have we learned? What is disputed? Who are contributors to the debate? The article is intended to be useful to faculty and graduate students considering conducting research on alignment, instructors preparing lectures, and practitioners seeking to assess the ‘state-of-play’. It is both informational and provocative. Challenges to the value of alignment research, divergent views, and new perspectives on alignment are presented. It is hoped that the article will spark helpful conversation on the merits of continued investigation of IT alignment. ",
Narrative,Describing,"Chatterjee, S., & Sarker, S. (2013). Infusing ethical considerations in knowledge management scholarship: Toward a research agenda. Journal of the Association for Information Systems, 14(8), 452–481.","Chatterjee, S., & Sarker, S. ",2013, Infusing ethical considerations in knowledge management scholarship: Toward a research agenda,Journal of the Association for Information Systems,14,8,452,481,,,https://pdfs.semanticscholar.org/e0b3/e68e4bdf30023723cedf7ec820444eeaf1c1.pdf,,"The authors of this paper believe that scholarly work on knowledge management (KM) has largely overlooked ethical  considerations.  As  such,  this  paper argues for  the  infusion of  ethical  considerations into  knowledge management (KM) research.  Using the lens of the classical ethical theories in philosophy, this paper revisits key areas  of  KM — knowledge  creation,  storage  and  access,  transfer,  and  application—and  generates  relevant research  questions  in  each  of  these  areas.  The  paper highlights the  importance  of  examining  ethical  issues related  to  KM,  and offers an  illustrative  set  of  ethically-informed  research  themes  and  questions  that  can potentially be investigated by future studies.",
Narrative,Describing,"Chiasson, M., Germonprez, M., & Mathiassen, L. (2009). Pluralist action research: A review of the information systems literature. Information Systems Journal, 19(1), 31–54. (Hybrid review: narrative/descriptive).","Chiasson, M., Germonprez, M., & Mathiassen, L. ",2009, Pluralist action research: A review of the information systems literature,Information Systems Journal,19,1,31,54,(Hybrid review: narrative/descriptive,,https://eprints.lancs.ac.uk/id/eprint/33535/1/10.pdf,,"Action research (AR) has for many years been promoted and practised as one way to conduct field studies within the information systems (IS) discipline. Based on a review of articles published in leading journals, we explore how IS researchers practise AR. Our review suggests that AR lends itself strongly towards pluralist approaches which facilitate the production of both theoretical and practical knowledge. First, on the level of each study we analyse how research and problem‐solving activities are mixed, in three ways: the research dominant, the problem‐solving dominant and the interactive approaches. Second, in the context of the wider research programme in which the study is situated, we analyse how AR is mixed with other research methods, in two ways: the dominant and the sequential approaches. We argue that these pluralist practices of mixing types of research activities and types of research methods provide IS action researchers with a rich portfolio of approaches to knowledge production. This portfolio helps them address the risks involved in AR to ensure their efforts contribute to the literature as well as to practical problem‐solving.",
Narrative,Describing,"de Vaujany, F. X., Walsh, I., & Mitev, N. (2011). An historically grounded critical analysis of research articles in IS. European Journal of Information Systems, 20(4), 395–417.","de Vaujany, F. X., Walsh, I., & Mitev, N. ",2011, An historically grounded critical analysis of research articles in IS,European Journal of Information Systems,20,4,395,417,,,https://pdfs.semanticscholar.org/19ef/92d67c636d7d755ebbc07dc4287549197f81.pdf,,"The Minnesota GDSS Research Project is a 20-year program of interdisciplinary research that has generated more than 80 articles, chapters, dissertations, and proceedings publications and has influenced other researchers who developed their own niches. Grounded in Adaptive Structuration Theory, which emerged and evolved as the research unfolded, the project studied the impact of technology characteristics (level of support, restrictiveness) and other support (training, heuristics, facilitation) on group processes and outcomes for a range of tasks (problem definition, decision making, planning). The project entailed a complex tapestry of a series of laboratory experiments and two major field studies. The basic theoretical framework, experimental strategy and design, field study design, and results are summarized, along with a discussion of the significance and implications of the project for contemporary theory and practice.",
Narrative,Describing,"DeSanctis, G., Poole, M. S., Zigurs, I., DeSharnais, G., D’Onofrio, M., Gallupe, B., et al. (2008). The Minnesota GDSS Research Project: Group support systems, group processes, and outcomes. Journal of the Association for Information Systems, 9(10/11), 551–608.","DeSanctis, G., Poole, M. S., Zigurs, I., DeSharnais, G., D’Onofrio, M., Gallupe, B., et al. ",2008," The Minnesota GDSS Research Project: Group support systems, group processes, and outcomes",Journal of the Association for Information Systems,9,10/11/19,551,608,,,https://hal.archives-ouvertes.fr/hal-00644398/file/EJIS_draft.pdf,,"In order to explore scientific writing in Information Systems (IS) journals, we adopt a combination of historical and rhetorical approaches. We first investigate the history of universities, business schools, learned societies and scientific articles. This perspective allows us to capture the legacy of scientific writing standards, which emerged in the 18th and 19th centuries. Then, we focus on two leading IS journals (EJIS and MISQ). An historical analysis of both outlets is carried out, based on data related to their creation, evolution of editorial statements, and key epistemological and methodological aspects. We also focus on argumentative strategies found in a sample of 436 abstracts from both journals. Three main logical anchorages (sometimes combined) are identified, and related to three argumentative strategies: ‘deepening of knowledge’, ‘solving an enigma’ and ‘addressing a practical managerial issue’. We relate these writing norms to historical imprints of management and business studies, in particular: enigma-focused rhetorics, interest in institutionalized literature, neglect for managerially grounded rhetoric and lack of reflexivity in scientific writing. We explain this relation as a quest for academic legitimacy. Lastly, some suggestions are offered to address the discrepancies between these writing norms and more recent epistemological and theoretical stances adopted by IS researchers.",
Narrative,Describing,"Dewan, S., & Riggins, F. J. (2005). The digital divide: Current and future research directions. Journal of the Association for Information Systems, 6(12), 298–337.","Dewan, S., & Riggins, F. J. ",2005, The digital divide: Current and future research directions,Journal of the Association for Information Systems,6,12,298,337,,,https://pdfs.semanticscholar.org/d6c1/18d8c0461b350e9925103db435776714781d.pdf,,"The digital divide refers to the separation between those who have access to digital information and communications technology (ICT) and those who do not. Many believe that universal access to ICT would bring about a global community of interaction, commerce, and learning resulting in higher standards of living and improved social welfare. However, the digital divide threatens this outcome, leading many public policy makers to debate the best way to bridge the divide. Much of the research on the digital divide focuses on first order effects regarding who has access to the technology, but some work addresses the second order effects of inequality in the ability to use the technology among those who do have access. In this paper, we examine both first and second order effects of the digital divide at three levels of analysis — the individual level, the organizational level, and the global level. At each level, we survey the existing research noting the theoretical perspective taken in the work, the research methodology employed, and the key results that were obtained. We then suggest a series of research questions at each level of analysis to guide researchers seeking to further examine the digital divide and how it impacts citizens, managers, and economies. ",
Narrative,Describing,"George, J. F., Marett, K., & Giordano, G. (2008). Deception: Toward an individualistic view of group support systems. Journal of the Association for Information Systems, 9(10/11), 653–676.","George, J. F., Marett, K., & Giordano, G. ",2008, Deception: Toward an individualistic view of group support systems,Journal of the Association for Information Systems,9,10/11/19,653,676,,,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.183.1769&rep=rep1&type=pdf,,"Many of the ideas we take for granted about group support systems originated from work conducted at the University of Minnesota by DeSanctis and colleagues. One of the lesser known concepts is an analysis of the theoretical basis for group support system research. This analysis groups five theories that support GSS research into two camps: individualistic and collective. Individualistic theories are seen as prevalent in GSS research. From the individualistic perspective, technology is an active tool that works to enhance individual power. Our recent work has focused on deception and its detection, including deception stemming from individual agendas among group members in a GSS setting. This work demonstrates how group members can take advantage of the individually-focused emphasis in GSS design to successfully advance their own agendas. The purpose of this paper is to further examine the individualistic theoretical underpinnings of GSS research. To do so, we examine deception and explore its implications for groups and for GSS.",
Narrative,Describing,"Hendriks, P. H. (2001). Many rivers to cross: From ICT to knowledge management systems. Journal of Information Technology, 16(2), 57–72.","Hendriks, P. H. ",2001, Many rivers to cross: From ICT to knowledge management systems,Journal of Information Technology,16,2,57,72,,,https://www.researchgate.net/profile/Paul_Hendriks/publication/250885972_Many_rivers_to_cross_From_ICT_to_knowledge_management_systems/links/00b4953b25ecf3c063000000.pdf,,"Several applications of information and communication technology (ICT) have gained considerable popularity as instruments for knowledge management. Some authors even seem to equate knowledge management with the introduction of specific ICT applications (intranets, groupware, etc.). However, the relationship between ICT and knowledge is no less problematic. Organizational knowledge and ICT refer to distinct sets of conceptions and establishing their relationship is far from trivial. The question then is how to assess the relationship between ICT and knowledge management. Several variables to be considered when answering this question have been identified in the literature: the enabling role of ICT for knowledge processes, the state of the ICT infrastructure, the level of knowledge required for using ICT, other user considerations, etc. However, a more encompassing perspective connecting these individual variables seems to be lacking. The aim of the present paper is to correct this. It argues that five dimensions determine the potential value of ICT applications for knowledge management. These dimensions are summarized in the following question. How and when will ICT, in interplay with other knowledge management measures (dimension 5), help knowledge (dimension 2) as a dynamic (dimension 4), institutional and action-related resource (dimension 3) realize its strategic potential (dimension 1)? The main argument in this paper is that, unless all five dimensions are addressed together, no satisfactory assessment of the status of an ICT application as a potential tool for knowledge management is feasible. Each of these dimensions is of a complex, multidimensional nature. The identification of the five dimensions is therefore only a first step. It needs a follow-up in the form of an elaboration of each dimension. This paper provides the groundwork for such an elaboration.",
Narrative,Describing,"Kane, G. C., Alavi, M., Labianca, G. J., & Borgatti, S. (2012). What’s different about social media networks? A framework and research agenda. MIS Quarterly, 38(1), 275–304.","Kane, G. C., Alavi, M., Labianca, G. J., & Borgatti, S. ",2012, What’s different about social media networks? A framework and research agenda,MIS Quarterly,38,1,275,304,,,https://www.researchgate.net/profile/Giuseppe_Labianca/publication/258423558_What%27s_Different_about_Social_Media_Networks_A_Framework_and_Research_Agenda/links/0deec532cbd4ee51d1000000.pdf,,"Recent years have witnessed the rapid proliferation and widespread adoption of a new class of information technologies, commonly known as social media. Researchers often rely on social network analysis (SNA) in attempting to understand these technologies, often without considering how the novel capabilities of social media platforms might affect the underlying theories of SNA, which were developed primarily through studies of offline social networks. This article outlines several key differences between traditional offline social networks and online social media networks by juxtaposing an established typology of social network research with a well-regarded definition of social media platforms that articulates four key features. The results show that at four major points of intersection, social media has considerable theoretical implications for SNA. In exploring these points of intersection, this study outlines a series of theoretically distinctive research questions for SNA in social media contexts. These points of intersection offer considerable opportunities for researchers to investigate the theoretical implications introduced by social media and lay the groundwork for a robust social media agenda potentially spanning multiple disciplines. ",
Narrative,Describing,"Kautz, K., Madsen, S., & Nørbjerg, J. (2007). Persistent problems and practices in information systems development. Information Systems Journal, 17(3), 217–239.","Kautz, K., Madsen, S., & Nørbjerg, J. ",2007, Persistent problems and practices in information systems development,Information Systems Journal,17,3,217,239,,,https://s3.amazonaws.com/academia.edu.documents/46827658/j.1365-2575.2007.00222.x20160627-32498-avqho2.pdf?response-content-disposition=inline%3B%20filename%3DPersistent_problems_and_practices_in_inf.pdf&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAIWOWYYGZ2Y53UL3A%2F20191214%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20191214T090126Z&X-Amz-Expires=3600&X-Amz-SignedHeaders=host&X-Amz-Signature=cc45f2016a2edbb7addc204c26684552588d56cef5848e9048b497cffea3b938,,"This paper identifies and discusses the persistent problems and development practices of information systems development (ISD). A critical examination and comparison of past times’‘traditional’ and present‐day ‘web‐based’ development shows that contemporary ISD can be seen as an accentuated evolution – rather than a revolution – of well‐known challenges and solutions. On this basis, (1) diversity; (2) knowledge; and (3) structure are identified as inherent and interrelated problems, while the practices for coping with these three challenges are (a) organization and specialization; (b) constant verbal communication and negotiation; and (c) pragmatic application of certain development methods and methodical concepts. We conclude that more research on the occurrence and interaction of problems and practices at, and between, different contextual levels (e.g. the business environment, company, project, team and individual levels) is needed to understand and assess (the gap between) ‘observed practice’ and ‘good practice’ across the many types of Web and non‐Web ISD projects conducted today. We outline a possible research agenda to investigate these issues.
",
